               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.018243,             0.01631,           0.0037058,             0.81813,             0.74924,             0.79534,             0.58649,            0.029869,            0.020622,           0.0086443,            0.003584,            0.003584,            0.003584
                 130,            0.018114,            0.016462,           0.0037803,             0.81899,             0.74924,             0.79542,             0.58662,            0.029873,            0.020651,           0.0086431,           0.0035203,           0.0035203,           0.0035203
                 131,            0.018011,            0.016146,            0.003796,              0.8235,             0.74495,             0.79524,              0.5866,            0.029881,            0.020681,           0.0086417,            0.003457,            0.003457,            0.003457
                 132,            0.018042,               0.016,           0.0037662,             0.82328,             0.74433,             0.79503,             0.58674,            0.029888,            0.020709,           0.0086547,           0.0033943,           0.0033943,           0.0033943
                 133,            0.018142,            0.016127,           0.0038162,             0.82329,              0.7444,             0.79487,             0.58694,            0.029891,            0.020738,           0.0086614,           0.0033321,           0.0033321,           0.0033321
                 134,            0.017883,            0.016084,             0.00384,             0.82107,             0.74633,             0.79487,             0.58695,            0.029894,            0.020763,           0.0086694,           0.0032704,           0.0032704,           0.0032704
                 135,            0.017698,            0.015752,           0.0036438,             0.82163,             0.74576,             0.79533,              0.5871,            0.029899,             0.02079,           0.0086814,           0.0032093,           0.0032093,           0.0032093
                 136,            0.017845,            0.015969,           0.0035884,             0.82629,             0.74252,             0.79512,             0.58729,            0.029908,            0.020816,           0.0086921,           0.0031488,           0.0031488,           0.0031488
                 137,            0.017748,            0.015861,           0.0036822,             0.82339,             0.74441,              0.7951,             0.58727,            0.029915,             0.02084,           0.0087062,           0.0030888,           0.0030888,           0.0030888
                 138,            0.017633,             0.01571,           0.0037571,              0.8263,             0.74206,             0.79482,             0.58744,            0.029923,             0.02087,           0.0087218,           0.0030294,           0.0030294,           0.0030294
                 139,            0.017596,            0.015703,           0.0036085,             0.82265,             0.74453,             0.79477,             0.58715,            0.029926,            0.020892,           0.0087273,           0.0029706,           0.0029706,           0.0029706
                 140,            0.017276,            0.015652,            0.003513,             0.83037,             0.73893,              0.7946,             0.58721,            0.029929,            0.020915,           0.0087378,           0.0029125,           0.0029125,           0.0029125
                 141,            0.017388,            0.015589,           0.0034813,             0.83113,             0.73849,             0.79467,             0.58738,            0.029934,            0.020939,           0.0087505,            0.002855,            0.002855,            0.002855
                 142,            0.017209,            0.015512,           0.0035814,             0.83367,              0.7365,             0.79457,             0.58735,            0.029935,            0.020965,           0.0087591,           0.0027981,           0.0027981,           0.0027981
                 143,            0.017148,            0.015415,           0.0035108,             0.83422,             0.73588,             0.79438,             0.58772,            0.029938,            0.020989,           0.0087709,           0.0027419,           0.0027419,           0.0027419
                 144,            0.017223,             0.01543,           0.0035719,             0.83395,             0.73614,             0.79452,             0.58793,            0.029941,            0.021005,           0.0087822,           0.0026864,           0.0026864,           0.0026864
                 145,            0.016929,             0.01537,           0.0032792,             0.83787,             0.73331,             0.79439,             0.58783,            0.029946,            0.021025,           0.0087912,           0.0026316,           0.0026316,           0.0026316
                 146,            0.016787,             0.01539,           0.0033819,             0.82721,             0.74055,             0.79441,             0.58772,            0.029949,            0.021048,           0.0087937,           0.0025775,           0.0025775,           0.0025775
                 147,             0.01691,            0.015045,            0.003418,             0.83393,             0.73556,             0.79438,             0.58795,            0.029955,            0.021073,           0.0088023,           0.0025241,           0.0025241,           0.0025241
                 148,            0.016644,            0.015158,           0.0031192,             0.83091,             0.73812,             0.79436,             0.58776,            0.029961,            0.021099,           0.0088117,           0.0024714,           0.0024714,           0.0024714
                 149,            0.016585,            0.015077,           0.0033309,             0.82915,             0.73911,             0.79406,             0.58787,            0.029966,            0.021125,           0.0088171,           0.0024195,           0.0024195,           0.0024195
                 150,            0.016575,            0.015148,           0.0032694,             0.82773,             0.74064,             0.79391,             0.58788,             0.02997,            0.021147,           0.0088238,           0.0023684,           0.0023684,           0.0023684
                 151,            0.016536,            0.014904,           0.0033485,             0.82905,             0.74028,             0.79391,             0.58797,            0.029976,            0.021171,           0.0088303,            0.002318,            0.002318,            0.002318
                 152,            0.016154,            0.014927,           0.0032562,             0.82884,              0.7405,              0.7941,             0.58801,            0.029983,            0.021194,           0.0088394,           0.0022684,           0.0022684,           0.0022684
                 153,            0.016157,            0.014401,           0.0030394,              0.8286,             0.74055,             0.79404,             0.58795,             0.02999,            0.021222,           0.0088496,           0.0022196,           0.0022196,           0.0022196
